SiPM 3025  (-443.175,-38.875,-22.8)
SiPM 3026  (-443.175,-23.325,-22.8)
SiPM 3027  (-443.175,-7.775,-22.8)
SiPM 3028  (-443.175,7.775,-22.8)
SiPM 3029  (-443.175,23.325,-22.8)
SiPM 3030  (-443.175,38.875,-22.8)
SiPM 3031  (-443.175,54.425,-22.8)
SiPM 3032  (-427.625,-54.425,-22.8)
SiPM 3033  (-427.625,-38.875,-22.8)
SiPM 3034  (-427.625,-23.325,-22.8)
SiPM 3035  (-427.625,-7.775,-22.8)
SiPM 3036  (-427.625,7.775,-22.8)
SiPM 3037  (-427.625,23.325,-22.8)
SiPM 3038  (-427.625,38.875,-22.8)
SiPM 3039  (-427.625,54.425,-22.8)
SiPM 3040  (-412.075,-54.425,-22.8)
SiPM 3041  (-412.075,-38.875,-22.8)
SiPM 3042  (-412.075,-23.325,-22.8)
SiPM 3043  (-412.075,-7.775,-22.8)
SiPM 3044  (-412.075,7.775,-22.8)
SiPM 3045  (-412.075,23.325,-22.8)
SiPM 3046  (-412.075,38.875,-22.8)
SiPM 3047  (-412.075,54.425,-22.8)
SiPM 3048  (-396.525,-54.425,-22.8)
SiPM 3049  (-396.525,-38.875,-22.8)
SiPM 3050  (-396.525,-23.325,-22.8)
SiPM 3051  (-396.525,-7.775,-22.8)
SiPM 3052  (-396.525,7.775,-22.8)
SiPM 3053  (-396.525,23.325,-22.8)
SiPM 3054  (-396.525,38.875,-22.8)
SiPM 3055  (-396.525,54.425,-22.8)
SiPM 3056  (-380.975,-54.425,-22.8)
SiPM 3057  (-380.975,-38.875,-22.8)
SiPM 3058  (-380.975,-23.325,-22.8)
SiPM 3059  (-380.975,-7.775,-22.8)
SiPM 3060  (-380.975,7.775,-22.8)
SiPM 3061  (-380.975,23.325,-22.8)
SiPM 3062  (-380.975,38.875,-22.8)
SiPM 3063  (-380.975,54.425,-22.8)
SiPM 4000  (-489.825,69.975,-22.8)
SiPM 4001  (-489.825,85.525,-22.8)
SiPM 4002  (-489.825,101.075,-22.8)
SiPM 4003  (-489.825,116.625,-22.8)
SiPM 4004  (-489.825,132.175,-22.8)
SiPM 4005  (-489.825,147.725,-22.8)
SiPM 4006  (-489.825,163.275,-22.8)
SiPM 4007  (-489.825,178.825,-22.8)
SiPM 4008  (-474.275,69.975,-22.8)
SiPM 4009  (-474.275,85.525,-22.8)
SiPM 4010  (-474.275,101.075,-22.8)
SiPM 4011  (-474.275,116.625,-22.8)
SiPM 4012  (-474.275,132.175,-22.8)
SiPM 4013  (-474.275,147.725,-22.8)
SiPM 4014  (-474.275,163.275,-22.8)
SiPM 4015  (-474.275,178.825,-22.8)
SiPM 4016  (-458.725,69.975,-22.8)
SiPM 4017  (-458.725,85.525,-22.8)
SiPM 4018  (-458.725,101.075,-22.8)
SiPM 4019  (-458.725,116.625,-22.8)
SiPM 4020  (-458.725,132.175,-22.8)
SiPM 4021  (-458.725,147.725,-22.8)
SiPM 4022  (-458.725,163.275,-22.8)
SiPM 4023  (-458.725,178.825,-22.8)
SiPM 4024  (-443.175,69.975,-22.8)
SiPM 4025  (-443.175,85.525,-22.8)
SiPM 4026  (-443.175,101.075,-22.8)
SiPM 4027  (-443.175,116.625,-22.8)
SiPM 4028  (-443.175,132.175,-22.8)
SiPM 4029  (-443.175,147.725,-22.8)
SiPM 4030  (-443.175,163.275,-22.8)
SiPM 4031  (-443.175,178.825,-22.8)
SiPM 4032  (-427.625,69.975,-22.8)
SiPM 4033  (-427.625,85.525,-22.8)
SiPM 4034  (-427.625,101.075,-22.8)
SiPM 4035  (-427.625,116.625,-22.8)
SiPM 4036  (-427.625,132.175,-22.8)
SiPM 4037  (-427.625,147.725,-22.8)
SiPM 4038  (-427.625,163.275,-22.8)
SiPM 4039  (-427.625,178.825,-22.8)
SiPM 4040  (-412.075,69.975,-22.8)
SiPM 4041  (-412.075,85.525,-22.8)
SiPM 4042  (-412.075,101.075,-22.8)
SiPM 4043  (-412.075,116.625,-22.8)
SiPM 4044  (-412.075,132.175,-22.8)
SiPM 4045  (-412.075,147.725,-22.8)
SiPM 4046  (-412.075,163.275,-22.8)
SiPM 4047  (-412.075,178.825,-22.8)
SiPM 4048  (-396.525,69.975,-22.8)
SiPM 4049  (-396.525,85.525,-22.8)
SiPM 4050  (-396.525,101.075,-22.8)
SiPM 4051  (-396.525,116.625,-22.8)
SiPM 4052  (-396.525,132.175,-22.8)
SiPM 4053  (-396.525,147.725,-22.8)
SiPM 4054  (-396.525,163.275,-22.8)
SiPM 4055  (-396.525,178.825,-22.8)
SiPM 4056  (-380.975,69.975,-22.8)
SiPM 4057  (-380.975,85.525,-22.8)
SiPM 4058  (-380.975,101.075,-22.8)
SiPM 4059  (-380.975,116.625,-22.8)
SiPM 4060  (-380.975,132.175,-22.8)
SiPM 4061  (-380.975,147.725,-22.8)
SiPM 4062  (-380.975,163.275,-22.8)
SiPM 4063  (-380.975,178.825,-22.8)
SiPM 5000  (-489.825,194.375,-22.8)
SiPM 5001  (-489.825,209.925,-22.8)
SiPM 5002  (-489.825,225.475,-22.8)
SiPM 5003  (-489.825,241.025,-22.8)
SiPM 5004  (-489.825,256.575,-22.8)
SiPM 5005  (-489.825,272.125,-22.8)
